docno="lists-029-5936860"
received="Thu May 27 19:37:24 2004"
isoreceived="20040527233724"
sent="Thu, 27 May 2004 23:36:34 -0000"
isosent="20040527233634"
name="islamconvert@ummah.org"
email="islamconvert@ummah.org"
subject="calendar 2004 calendar pregnancy calendar printable cal"
id="20040527233635.7420E78427@rajab.salam.co.uk"
expires="-1"

To:<site-comments@w3.org>



 The Islamic calendar is based on the year prophet Muhammad ( ) and his 
fellow Muslims (known as Sahabah, the Companions) emigrated to Madina in the 
year 622 C.E.   The emigration took place after thirteen years of 
persecutions by the disbelievers of Makkah. By the command of God, the 
Prophet left the city with his companion Abu Bakr Siddique (R.A.) and escaped 
a death threat by the disbelievers. The event marks the beginning of a second 
phase of the Islamic movement. It is the phase when Madinah became the center 
of an Islamic state. 


http://www.geocities.com/abasa014/Calendar.htm


 calendar 
 196232  2004 calendar 
 99305  pregnancy calendar 
 55068  printable calendar 
 54288  2003 calendar 
 54127  ovulation calendar 
 50363  calendar free 
 46261  advent calendar 
 40656  marie calendar 
 31394  online calendar 
 27775  free printable calendar 
 25491  chinese calendar 
 17788  holiday calendar 
 17777  calendar girl 
 16050  2004 calendar free 
 14277  blank calendar 
 13680  calendar template 
 13600  monthly calendar 
 13060  calendar wallpaper 
 12961  calendar maker 
 12456  lunar calendar 
 12068  calendar creator 
 11709  perpetual calendar 
 11432  jewish calendar 
 11357  2004 calendar holiday 
 11288  2005 calendar 
 10810  november calendar 
 10805  photo calendar 
 10768  desktop calendar 
 10184  cat calendar 
 9565  calendar print 
 9337  calendar software 
 9190  event calendar 
 8906  2002 calendar 
 8833  aztec calendar 
 8509  wall calendar 
 8240  2004 calendar printable 
 7622  2002 november calendar 
 7558  create a calendar 
 7314  year 2000 calendar 
 7199  chinese lunar calendar 
 7006  make a calendar 
 6843  december calendar 
 6338  moon calendar 
 6240  chinese birth calendar 
 6003  2003 calendar december 
 5823  free online calendar 
 5694  yearly calendar 
 5609  fertility calendar 
 5439  web calendar 
 5311  2001 calendar 
 4974  islamic calendar 
 4973  julian calendar 
 4918  calendar downloads 
 4737  chinese pregnancy calendar 
 4641  calendar yahoo 
 4638  baby calendar 
 4637  personalized calendar 
 4584  swimsuit calendar 
 4540  fire fighter calendar 
 4516  chinese gender calendar 
 4458  calendar of man 
 4314  desk calendar 
 4273  2004 calendar free printable 
 4204  mayan calendar 
 4166  playboy calendar 
 4157  baby calendar chinese 
 4089  calendar print free 
 4076  moon phase calendar 
 4033  pirelli calendar 
 3828  economic calendar 
 3813  2004 online calendar 
 3796  calendar program 
 3751  conception calendar 
 3733  custom calendar 
 3693  free calendar creator software 
 3592  free calendar software 
 3574  make your own calendar 
 3450  nude calendar 
 3439  free calendar template 
 3401  2003 2004 calendar 
 3327  calendar making 
 3296  christmas calendar 
 3277  sweet angel calendar 
 3229  promotional calendar 
 3148  due date calendar 
 3038  pocket calendar 
 3024  dog calendar 
 2916  ramadan calendar 
 2899  year 2004 calendar 
 2841  2004 calendar january 
